127.0.0.1 - - [06/Sep/2018:14:39:02 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:39:03 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:56:56 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:01 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:05 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:06 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:16 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:16 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:17 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:23 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:39 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:00:49 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:01:08 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:01:31 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:01:35 +0900] "GET /test1/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:01:42 +0900] "GET /test1/NewFile.html HTTP/1.1" 200 209
